0,1,2,3
MODEL(1),MODEL(1),deepseek-chat,deepseek-reasoner
CONTEXT LENGTH,CONTEXT LENGTH,64K,64K
MAX COT TOKENS(2),MAX COT TOKENS(2),-,32K
MAX OUTPUT TOKENS(3),MAX OUTPUT TOKENS(3),8K,8K
STANDARD PRICE UTC 00:30-16:30,1M TOKENS INPUT (CACHE HIT)(4),$0.07,$0.14
STANDARD PRICE UTC 00:30-16:30,1M TOKENS INPUT (CACHE MISS),$0.27,$0.55
STANDARD PRICE UTC 00:30-16:30,1M TOKENS OUTPUT(5),$1.10,$2.19
DISCOUNT PRICE(6) UTC 16:30-00:30,1M TOKENS INPUT (CACHE HIT),$0.035 50% OFF,$0.035 75% OFF
DISCOUNT PRICE(6) UTC 16:30-00:30,1M TOKENS INPUT (CACHE MISS),$0.135 50% OFF,$0.135 75% OFF
DISCOUNT PRICE(6) UTC 16:30-00:30,1M TOKENS OUTPUT,$0.550 50% OFF,$0.550 75% OFF
